VIN;option_name;color;engine;body style;transmission;model;brand;date of made;price
D255;Active Plus;Silver;Kappa 1.4 MPI;4-door sedan;МТ;ACCENT;hyundai;2020;6390000
D265;Comfort;White;Kappa 1.4 MPI;4-door sedan;AТ;ACCENT;hyundai;2020;6790000
G238;Elegance;Grey;Kappa 1.6 MPI;4-door sedan;AТ;ACCENT;hyundai;2020;7490000
GARZ;Start;Grey;Gamma 1.6 MPI;4-door sedan;MT;ELANTRA;hyundai;2020;8390000
GAU6;Base;Grey;Gamma 1.6 MPI;4-door sedan;AT;ELANTRA;hyundai;2020;9090000
GAQQ;Comfort;White;Gamma 1.6 MPI;4-door sedan;AT;ELANTRA;hyundai;2020;9590000
GAQM;Elegance;White;Gamma 1.6 MPI;4-door sedan;AT;ELANTRA;hyundai;2020;10290000
GAQR;Style;White;Smartstream G2.0;4-door sedan;AT;ELANTRA;hyundai;2020;11290000
GAQS;High-Tech;Blue;Smartstream G2.0;4-door sedan;AT;ELANTRA;hyundai;2020;11790000
GAQT;Luxe;Orange;Smartstream G2.0;4-door sedan;AT;ELANTRA;hyundai;2020;12190000
GHPR;Comfort;Blue;Smartstream G 2.5;crossover;AT;SANTA FE;hyundai;2020;14090000
GHQ8;Travel;Grey;Smartstream G 2.5;crossover;AT;SANTA FE;hyundai;2020;15190000
GHPT;Prime;Black;Smartstream G 2.5;crossover;AT;SANTA FE;hyundai;2020;16290000
GHPU;High-Tech;White;Smartstream G 2.5;crossover;AT;SANTA FE;hyundai;2020;17790000
GMB1;Base;White;CRDI;van;MT;H1;hyundai;2020;18400000
GMB2;Base;Silver;CRDI;van;AT;H1;hyundai;2020;19100000
GMB5;Family;White;CRDI;van;AT;H1;hyundai;2020;20100000
GMB6;Business;Brown;CRDI;van;AT;H1;hyundai;2020;20900000
E7HD;Comfort;Black;DOHC 2.0;crossover;AT;Subaru XV;Subaru;2020;13990000
E7JG;Elegance;Grey;DOHC 2.0;crossover;AT;Subaru XV;Subaru;2020;16190000
E7VF;Standart;Green;DOHC 2.0;crossover;AT;Forester;Subaru;2020;14190000
E7BM;Elegance;Blue;DOHC 2.0;crossover;AT;Forester;Subaru;2020;15490000
E7OS;Prestige;Grey;DOHC 2.5;crossover;AT;Forester;Subaru;2020;18190000
E7OI;Sport;Bronze;DOHC 2.5;crossover;AT;Forester;Subaru;2020;18390000
E7OX;Premium;Grey;DOHC 2.5;universal;AT;Outback;Subaru;2020;19990000
E74Q;Touring;Green;DOHC 2.5;universal;AT;Outback;Subaru;2020;22190000
M7P1;Comfort;White;turbocharged 1.5;universal;AT;Jolion;Haval;2020;9090000
M7E2;Elite;Grey;turbocharged 1.5;universal;MT;Jolion;Haval;2020;10090000
M7B2;Elite;White;turbocharged 1.5;universal;AT;Jolion;Haval;2020;10690000
M7P2;Premium;White;turbocharged 1.5;universal;AT;Jolion;Haval;2020;11690000
BSW1;sDrive 18;White;turbocharged 1.5;crossover;AT;X1;BMW;2020;14437500
BMX1;xDrive 20;White;turbocharged 2.0;crossover;MT;X1;BMW;2020;17077500
BMZ1;xDrive 20;White;turbocharged 2.0;crossover;AT;X1;BMW;2020;17377500
BMW2;220d;White;Turbo 2.0;coupe;AT;2;BMW;2020;17797500
BXB3;xDrive 20;Bronze;turbocharged 2.0;crossover;AT;X3;BMW;2020;20842500
BWX3;xDrive 30;White;turbocharged 2.0;crossover;AT;X3;BMW;2020;22732500
D271;Comfort;Blue;1.6 MPI;hatchback;AT;X;Kia Rio;2020;7690000
D273;Luxe;Black;1.6 MPI;hatchback;AT;X;Kia Rio;2020;7990000
G153;Premium;Red;1.6 MPI;hatchback;AT;X;Kia Rio;2020;8990000
D266;Style;White;1.6 MPI;hatchback;AT;X;Kia Rio;2020;8290000
G152;Prestige;Grey;1.6 MPI;hatchback;AT;X;Kia Rio;2020;8490000
GGJ1;Comfort;White;2.0 MPI;crossover;AT;Sportage;Kia Rio;2020;10590000
GIHX;Luxe;Black;2.0 MPI;crossover;AT;Sportage;Kia Rio;2020;11590000
GJJO;Luxe +;Blue;2.4 GDI;crossover;AT;Sportage;Kia Rio;2020;12590000
GIND;Prestige;Grey;2.4 GDI;crossover;AT;Sportage;Kia Rio;2020;13090000
H00A;GT Line;White;2.4 GDI;crossover;AT;Sportage;Kia Rio;2020;13790000
D944;Comfort;Blue;2.0 MP;4-door sedan;AT;K5;Kia Rio;2020;11490000
G735;Luxe;White;2.0 MP;4-door sedan;AT;K5;Kia Rio;2020;12690000
G737;Style;Black;2.0 MP;4-door sedan;AT;K5;Kia Rio;2020;13290000
G720;Prestige;Grey;2.0 MP;4-door sedan;AT;K5;Kia Rio;2020;13390000
